Category,DistrictType,District,Office,County,RaceName_original,AppStatus
county_office,county,5,Sheriff,Daggett,Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,6,Davis School Board District 5,Davis,Davis School Board District 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
us_senate,,,US Senate,Davis,US Senate,VERIFY — no regular UT US Senate seat up in 2026
local_school_board,school_district,6,Davis School Board District 3,Davis,Davis School Board District 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,6,County Sheriff,Davis,County Sheriff,NEEDS county DistrictType wired
county_office,county,6,County Controller,Davis,County Controller,NEEDS county DistrictType wired
local_school_board,school_district,6,Davis School Board District 6,Davis,Davis School Board District 6,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,6,County Commissioner Seat A,Davis,County Commissioner Seat A,NEEDS county DistrictType wired
county_office,county,6,County Clerk,Davis,County Clerk,NEEDS county DistrictType wired
county_office,county,6,County Attorney,Davis,County Attorney,NEEDS county DistrictType wired
judicial,,,Shall John Carl Ynchausti be retained in the office of Judge of the Davis County Justice Court?,Davis,Shall John Carl Ynchausti be retained in the office of Judge of the Davis County Justice Court?,"EXCLUDE — retention Y/N, not a candidate race"
local_school_board,school_district,6,Davis School Board District 7,Davis,Davis School Board District 7,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,6,County Commissioner Seat B,Davis,County Commissioner Seat B,NEEDS county DistrictType wired
county_office,county,7,County Commissioner Seat A,Duchesne,County Commissioner Seat A,NEEDS county DistrictType wired
county_office,county,7,County Commissioner Seat B,Duchesne,County Commissioner Seat B,NEEDS county DistrictType wired
county_office,county,7,County Clek/Auditor,Duchesne,County Clek/Auditor,NEEDS county DistrictType wired
county_office,county,7,County Attorney,Duchesne,County Attorney,NEEDS county DistrictType wired
county_office,county,7,County Sheriff,Duchesne,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,7,Local School Board # 1,Duchesne,Local School Board # 1,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,7,Local School Board # 2,Duchesne,Local School Board # 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,7,Local School Board # 3,Duchesne,Local School Board # 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,8,Emery County School District #5,Emery,Emery County School District #5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
