Category,DistrictType,District,Office,County,RaceName_original,AppStatus
local_school_board,school_district,24,Uintah School Board District #2,Uintah,Uintah School Board District #2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,24,Uintah School Board District #3,Uintah,Uintah School Board District #3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,25,County Auditor,Utah,County Auditor,NEEDS county DistrictType wired
county_office,county,25,County Attorney,Utah,County Attorney,NEEDS county DistrictType wired
county_office,county,25,County Clerk,Utah,County Clerk,NEEDS county DistrictType wired
county_office,county,25,County Commission Seat A,Utah,County Commission Seat A,NEEDS county DistrictType wired
county_office,county,25,County Commission Seat B,Utah,County Commission Seat B,NEEDS county DistrictType wired
county_office,county,25,County Sheriff,Utah,County Sheriff,NEEDS county DistrictType wired
local_school_board,school_district,25,School Board Nebo 2,Utah,School Board Nebo 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,25,School Board Nebo 4,Utah,School Board Nebo 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,25,School Board Nebo 5,Utah,School Board Nebo 5,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,25,School Board Provo 1,Utah,School Board Provo 1,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,25,School Board Provo 2,Utah,School Board Provo 2,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,25,School Board Provo 3,Utah,School Board Provo 3,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,25,School Board Provo 4,Utah,School Board Provo 4,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,26,School Board Seat C,Wasatch,School Board Seat C,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
local_school_board,school_district,26,School Board Seat D,Wasatch,School Board Seat D,"NEEDS local-board sub-district geo (app resolves district NAME, not seat)"
county_office,county,26,County Council Seat A - At Large,Wasatch,County Council Seat A - At Large,NEEDS county DistrictType wired
county_office,county,26,County Council Seat C,Wasatch,County Council Seat C,NEEDS county DistrictType wired
